text,label
"where can i see the trailer for phineas redux ?
","search
"
"will it be getting colder in sahuarita ?
","weather
"
"is agnew united states has chilly weather
","weather
"
"where can i watch the tv series breed the pain ?
","search
"
"what films are at kerasotes theatres
","movie
"
"when is harassed being played at plitt theatres ?
","movie
"
"what s the weather forecast for my current position ?
","weather
"
"what s the weather forecast for here in august ?
","weather
"
"what movie house is playing the animated movies nearest ?
","movie
"
"tell me the weather forecast for croatia now
","weather
"
"play some fourties andrew lloyd webber on groove shark
","music
"
"find careless love
","movie
"
"look for the thorns saga
","search
"
"i need to book a restaurant in sunnybrook for 7
","restaurant
"
"where can i stream a television show called safety ep ?
","search
"
"please find me glass cloud – single
","search
"
"is it going to get chillier at 5 am in trussville bosnia and herzegovina ?
","weather
"
"what is the movie schedule for train
","movie
"
"find a video game called new york 911
","search
"
"search for tera the exiled realm of arborea
","search
"
"i d like to hear the song in a reverie
","search
"
"play them by guy-manuel de homem-christo
","music
"
"what is the weather forecast for yoakum sc ?
","weather
"
"what is party all night
","search
"
"find the fields of sacrifice movie
","search
"
"what films are showing at national amusements
","movie
"
"show creative photograph of icewind dale heart of winter
","search
"
"where can i purchase the saga the second life of samuel tyne
","search
"
"will it snow in haigler bosnia and herzegovina
","weather
"
"show me the forecast for anatone louisiana on november 7th
","weather
"
"please check the movie schedule
","movie
"
"will it feel nicer in finland or new mexico today
","weather
"
"what time is the closet cinema playing movies the closest
","movie
"
"play some music using slacker
","music
"
"book for my girlfriend and i for truffade at a gastropub in west virginia
","restaurant
"
"what time is the graduates of malibu high playing at cobb theatres
","movie
"
"book me a reservation for the brazen head in hecker
","restaurant
"
"play a 1950 album on iheart
","music
"
"find a soundtrack called the outpost
","search
"
"what is the johnson creek forecast for chilly weather
","weather
"
"weather within the same area as qatar at four
","weather
"
"find a song called this champagne mojito is the last thing i own
","search
"
"play songs by naomi schemer
","music
"
"what is the weather forecast in va
","weather
"
"what time is hold that blonde playing at the closest cinema ?
","movie
"
"can i see the the tv series the late music ?
","search
"
"show me the movie schedule for the cooper foundation
","movie
"
"what is the movie schedule at the fox theatres
","movie
"
"find the mystery woman saga
","search
"
"find lost in space
","movie
"
"find a book called screwed
","search
"
"play a record from the year 1979
","music
"
"show me heavenly sword
","search
"
"need a jewish in maine to book a restaurant
","restaurant
"
"book james d conrey house for madeleine keisha and clara alvarez far from your colleagues college
","restaurant
"
"what are the movies movie times nearby
","movie
"
"find a trailer called hellboy the troll witch and others
","search
"
"play the music track of 1998
","music
"
"book a table at a bar in argentina
","restaurant
"
"play the album a kiss before you go by bt
","music
"
"need to see mother joan of the angels in one second
","movie
"
"can you tell me the weather forecast for three o clock in de
","weather
"
"play the best songs of 2016
","music
"
"play some techno
","music
"
"check the weather forecast in seven weeks for emida
","weather
"
"show creative work of through the back door
","search
"
"play sunshine reggae on youtube
","music
"
"play the what i need to do soundtrack
","search
"
"what is the freezing forecast for british virgin islands
","weather
"
"find the movie schedule for movies close by
","movie
"
"play dhafer youssef top-twenty on netflix
","music
"
"what is the weather forecast nearby sc
","weather
"
"when is the woman going to be scheduled at the closest movie house ?
","movie
"
"can you please look up the game the islanders ?
","search
"
"weather in radnor township wv
","weather
"
"is you will meet a tall dark stranger at bow tie cinemas
","movie
"
"please find me the work instrumental directions
","search
"
"i want to make a reservation at the conflict kitchen for one
","restaurant
"
"book a restaurant in lake fenton for four
","restaurant
"
"play a tune from 1962
","music
"
"play punk rock music
","music
"
"can you find me the restless natives ?
","search
"
"can you use pandora to play a soundtrack from 1999 by david sitek ?
","music
"
"what do the cloud indicate in east aurora
","weather
"
"show me the movies at the closest cinema
","movie
"
"find tortured man
","search
"
